1	12345678	4	2022-06-07 09:35:49.416796	2022-06-07 09:35:49.416796
2	23456789	2	2022-06-07 09:35:49.419933	2022-06-07 09:35:49.419933
3	56789043	1	2022-06-07 09:35:49.421819	2022-06-07 09:35:49.421819
4	23689045	3	2022-06-07 09:35:49.423863	2022-06-07 09:35:49.423863
5	83bsoYBqUR8Nr8AHdmjjgqa5ufBRiHEeT479VP8EY1xP	5	2022-06-07 12:29:00.995592	2022-06-07 12:29:00.995592
6	83bsoYBqUR8Nr8AHdmjjgqa5ufBRiHEeT479VP8EY1xP	6	2022-06-07 16:40:18.163197	2022-06-07 16:40:18.163197
7	83bsoYBqUR8Nr8AHdmjjgqa5ufBRiHEeT479VP8EY1xP	7	2022-06-07 16:51:29.24079	2022-06-07 16:51:29.24079
8	83bsoYBqUR8Nr8AHdmjjgqa5ufBRiHEeT479VP8EY1xP	8	2022-06-07 17:22:37.900116	2022-06-07 17:26:37.389268
10	2kamYjE5qoBcRi2dPcfEJiSDEY3t8C39N7yEobyS7Yty	9	2022-06-07 18:13:38.081319	2022-06-07 18:13:38.081319
9	83bsoYBqUR8Nr8AHdmjjgqa5ufBRiHEeT479VP8EY1xP	9	2022-06-07 18:12:56.109255	2022-06-07 18:13:54.365019
\.


